,Q_C,Q_i,cannonsville_storage_pct,T_C_mu,T_C_sd,T_i_mu,T_i_sd,Tavg_L_mu,Tavg_L_sd,T_L_mu,T_L_sd,thermal_releases,remained_bank_amounts
2010-01-01,387.7894737036,1333.894029249965,86.9333843311677,4.178151,0.9339396,1.8918493,0.8511695,2.406812563951389,0.6921919578700909,2.94690880640987,1.1585567783309718,,
2010-01-02,387.7894737036,1301.3445797049255,86.80182214501231,3.7585585,0.89083564,2.981841,1.07156,3.16015898970901,0.8505081774027473,3.7362626161327763,1.3168666829602707,,
2010-01-03,408.1177077036,1268.71085738363,86.61591424830235,3.5900843,0.81684387,0.13973702,0.6546005,0.9795055354519954,0.5336916067797636,1.4513813809532023,1.0000701711694364,,
2010-01-04,387.7894737036,1036.8758712773445,86.61345810037983,3.3517988,0.7289588,-0.63430774,0.47880763,0.45069804748444314,0.4010078754611669,0.8972987026987689,0.8673921232793602,,
2010-01-05,387.7894737036,909.7547336104258,86.66447563637033,3.2020106,0.6484047,-0.90586865,0.5534235,0.3218292859360153,0.4337234743778768,0.7622704548641499,0.9001091556838459,,
2010-01-06,387.7894737036,915.4956010889288,86.71972098464884,3.0166814,0.5804043,-1.0509905,0.5751309,0.1593359458486511,0.43936568872915155,0.5920104885763053,0.905753204616297,,
2010-01-07,387.7894737036,869.0346403756946,86.75108006333491,3.018941,0.544727,-1.228179,0.64067763,0.08225768036107375,0.4738105425880229,0.5112481454772914,0.9401989392602155,,
2010-01-08,387.7894737036,899.1364120100902,86.747342172324,3.0002737,0.55552864,-1.084431,0.6192009,0.14641333862587042,0.4638743583368578,0.5784702249019986,0.9302620214186428,,
2010-01-09,387.7894737036,914.09622517271,86.69401131370597,2.7841818,0.59434175,-0.74782944,0.5172109,0.3042420256179762,0.4040046548795119,0.7438425836219504,0.870390533292104,,
2010-01-10,420.9242437036,863.3310236435598,86.57464098800332,2.7568824,0.5870713,-0.9166681,0.5782462,0.287365477106121,0.43373822425677444,0.7261593937808237,0.9001242921433026,,
2010-01-11,391.1798095036,893.760518118999,86.47573241778656,2.761038,0.5757538,-0.8750737,0.5219013,0.23188317775288483,0.40311772888800124,0.6680252301752553,0.8695044219724586,,
