date,mu_ft,sd_ft,obs
1979-01-01,78.74877166748047,5.034766327141566e+22,67.04
1979-01-02,70.15184783935547,2.032993833164336e+20,67.44
1979-01-03,71.48080444335938,5.212486263810703e+20,
1979-01-04,71.90978240966797,7.154746286388638e+20,
1979-01-05,72.28084564208984,9.266208306185487e+20,
1979-01-06,71.14501190185547,4.4400436331603925e+20,
1979-01-07,70.37958526611328,3.015466758249162e+20,
1979-01-08,70.3912582397461,5.0158404563625e+20,
1979-01-09,71.64702606201172,1.152213313565443e+21,
1979-01-10,70.76248931884766,6.263662656742228e+20,
1979-01-11,70.35128784179688,4.847056801327722e+20,
1979-01-12,68.73291778564453,2.1776007228401333e+20,
1979-01-13,66.50381469726562,7.703110734282385e+19,
1979-01-14,66.36964416503906,8.508695636065491e+19,
1979-01-15,65.99365997314453,5.92100073755514e+19,
1979-01-16,65.68144989013672,4.190313580245025e+19,
1979-01-17,65.49784088134766,3.42967627400075e+19,
1979-01-18,65.3369140625,2.868620339309445e+19,
1979-01-19,65.17415618896484,2.3750783768054465e+19,
1979-01-20,65.26001739501953,2.421248189469714e+19,
1979-01-21,65.56389617919922,4.982236830150689e+19,
1979-01-22,66.56062316894531,1.0609985502047738e+20,
1979-01-23,65.35042572021484,5.500756398302875e+19,
1979-01-24,65.20944213867188,6.170574483897503e+19,
1979-01-25,65.44647979736328,7.902286825849356e+19,
1979-01-26,66.31788635253906,1.7851334777817688e+20,
1979-01-27,66.40176391601562,1.94480877849205e+20,
1979-01-28,65.44995880126953,8.415567001192864e+19,
1979-01-29,65.43250274658203,8.00062274779113e+19,
1979-01-30,65.50773620605469,8.650208060216076e+19,
1979-01-31,65.177734375,6.186224052797964e+19,
1979-02-01,64.96633911132812,5.083643468166516e+19,
1979-02-02,64.55805969238281,3.668713400414136e+19,
1979-02-03,64.19801330566406,2.6591701911902093e+19,
1979-02-04,63.78150177001953,1.846540278603291e+19,
1979-02-05,63.379608154296875,1.2698095961952485e+19,
1979-02-06,63.34056091308594,1.0628776595571081e+19,
1979-02-07,63.091678619384766,8.057618681795969e+18,
1979-02-08,63.36811065673828,8.255688004958421e+18,
1979-02-09,63.354583740234375,7.516774959406907e+18,
1979-02-10,63.458343505859375,7.421440704208962e+18,
1979-02-11,63.460609436035156,7.026800142476902e+18,
1979-02-12,63.45368957519531,6.756421986869576e+18,
1979-02-13,63.5673713684082,6.940804039533658e+18,
1979-02-14,63.650230407714844,7.069604130146222e+18,
1979-02-15,63.73705291748047,7.199063377979638e+18,
1979-02-16,63.798255920410156,7.348449075043238e+18,
1979-02-17,63.78923797607422,7.218065137930863e+18,
1979-02-18,63.88404846191406,7.493756133723603e+18,
1979-02-19,63.97601318359375,7.820444128080036e+18,
1979-02-20,64.09364318847656,8.459723278213186e+18,
1979-02-21,64.4891586303711,1.1373123977342878e+19,
1979-02-22,65.60993957519531,2.9559567469269484e+19,
1979-02-23,66.68485260009766,7.903763689867785e+19,
1979-02-24,66.35102844238281,1.0496019802414803e+20,
1979-02-25,65.16156768798828,5.5621803954862555e+19,
1979-02-26,61.8088264465332,6.973819624936702e+18,
1979-02-27,65.1568374633789,6.715799870074415e+19,
1979-02-28,65.5566635131836,9.617517928305499e+19,
1979-03-01,65.90914916992188,1.3138569336034899e+20,
1979-03-02,66.60474395751953,2.3925571812108062e+20,
1979-03-03,66.5115966796875,2.2170967638065912e+20,
1979-03-04,65.53924560546875,9.94930479788458e+19,
1979-03-05,63.713783264160156,2.4538201219309502e+19,
1979-03-06,62.665252685546875,1.0184191267903111e+19,
1979-03-07,62.85231018066406,1.1426439296173736e+19,
1979-03-08,62.891998291015625,1.2005358556476867e+19,
1979-03-09,62.7364387512207,1.1128286927092974e+19,
1979-03-10,62.33671569824219,7.830533796532322e+18,
1979-03-11,63.42321014404297,1.7248521590526706e+19,
1979-03-12,63.74060821533203,2.279790301095867e+19,
1979-03-13,63.51401138305664,1.8764780011067015e+19,
1979-03-14,63.3680419921875,1.6595463360674267e+19,
1979-03-15,63.503089904785156,1.8305985694633296e+19,
1979-03-16,63.191627502441406,1.4368697227730223e+19,
1979-03-17,62.79155731201172,1.042598047192082e+19,
1979-03-18,62.216514587402344,6.330241934094762e+18,
1979-03-19,62.06752014160156,5.035908390748946e+18,
1979-03-20,62.252410888671875,4.891706341254496e+18,
1979-03-21,62.470733642578125,4.854786939817034e+18,
1979-03-22,62.61943817138672,4.741439385621234e+18,
1979-03-23,62.67891311645508,4.575043144164311e+18,
1979-03-24,62.81028747558594,5.020754921494938e+18,
1979-03-25,62.313140869140625,3.9029850785059963e+18,
1979-03-26,62.5689697265625,4.681340080046998e+18,
1979-03-27,62.76034164428711,4.722720200158347e+18,
1979-03-28,62.78061294555664,4.773562167582523e+18,
1979-03-29,62.89608383178711,5.094959311986098e+18,
1979-03-30,62.73219299316406,4.703590347102487e+18,
1979-03-31,62.683231353759766,4.514124702427382e+18,
