date,mu_ft,sd_ft,obs
1979-01-01,79.1900405883789,3.4385817005451944e+25,67.04
1979-01-02,76.19020080566406,6.676632420321757e+24,67.44
1979-01-03,72.86835479736328,8.64194723689808e+23,
1979-01-04,74.92853546142578,2.7193002604312876e+24,
1979-01-05,75.19380187988281,3.0242857565790745e+24,
1979-01-06,73.70451354980469,1.0621669825287098e+24,
1979-01-07,74.12762451171875,1.438699760833448e+24,
1979-01-08,69.73242950439453,1.2006253432278137e+23,
1979-01-09,74.71943664550781,2.1265281187958745e+24,
1979-01-10,71.14313507080078,2.1852265231295468e+23,
1979-01-11,70.59065246582031,1.3461660106577249e+23,
1979-01-12,70.70924377441406,1.3573038628961748e+23,
1979-01-13,69.26837158203125,5.221187879756978e+22,
1979-01-14,71.52526092529297,2.765653685696788e+23,
1979-01-15,67.16434478759766,1.0929560755684088e+22,
1979-01-16,68.17469024658203,2.091457930971995e+22,
1979-01-17,67.9245834350586,1.7141499570705966e+22,
1979-01-18,67.61424255371094,1.366655137162447e+22,
1979-01-19,66.59765625,6.754035976268558e+21,
1979-01-20,66.85780334472656,8.102292670463299e+21,
1979-01-21,67.92313385009766,3.679567221531243e+22,
1979-01-22,67.64474487304688,2.4750608112525502e+22,
1979-01-23,69.37456512451172,6.325861420835879e+22,
1979-01-24,68.81137084960938,2.6876885849196494e+22,
1979-01-25,72.07061767578125,4.4878319846431166e+23,
1979-01-26,71.87642669677734,4.022559702819918e+23,
1979-01-27,71.10208892822266,2.376533130260767e+23,
1979-01-28,70.99492645263672,1.2830612123910393e+23,
1979-01-29,71.3480453491211,1.7242504952068743e+23,
1979-01-30,69.0990982055664,5.501646394031736e+22,
1979-01-31,69.67556762695312,7.4828019377501916e+22,
1979-02-01,68.63446807861328,3.358422287502894e+22,
1979-02-02,65.68701171875,4.878278287219445e+21,
1979-02-03,66.16309356689453,4.5839596073214814e+21,
1979-02-04,65.84063720703125,3.637765429034939e+21,
1979-02-05,64.4172134399414,1.3947580491972016e+21,
1979-02-06,64.31285095214844,1.2852838457676378e+21,
1979-02-07,63.91422653198242,9.675184410471652e+20,
1979-02-08,63.9126091003418,9.683529439843682e+20,
