date,mu_ft,sd_ft,obs
1979-01-01,79.64107513427734,3.821881307526123e+20,67.04
1979-01-02,70.83773803710938,6.061456421080269e+18,67.44
1979-01-03,70.59750366210938,2.9550997875642597e+19,
1979-01-04,73.88506317138672,1.406297960292385e+21,
1979-01-05,73.63019561767578,2.0318009422130362e+21,
1979-01-06,71.18402099609375,3.840939978199201e+20,
1979-01-07,70.6354751586914,2.790053504493688e+20,
1979-01-08,70.07025909423828,2.3640516825537367e+20,
1979-01-09,69.51053619384766,1.509220270689055e+20,
1979-01-10,69.7368392944336,1.87723789558289e+20,
1979-01-11,68.94935607910156,1.0001589654417886e+20,
1979-01-12,69.90751647949219,2.030567870708811e+20,
1979-01-13,69.1097412109375,1.1328012334669182e+20,
1979-01-14,69.8052749633789,1.9404811007251238e+20,
1979-01-15,70.32354736328125,2.3784522942059748e+20,
1979-01-16,69.7364273071289,1.5165669435030634e+20,
1979-01-17,69.12189483642578,1.008907295678886e+20,
1979-01-18,68.47024536132812,6.6675801279313215e+19,
1979-01-19,68.00328826904297,4.945747117857361e+19,
1979-01-20,68.456787109375,7.016036473396789e+19,
1979-01-21,69.60748291015625,2.5176145782228858e+20,
1979-01-22,68.3916244506836,1.0069387300605159e+20,
1979-01-23,66.47398376464844,2.6302059762820317e+19,
1979-01-24,67.94361877441406,8.769384565355368e+19,
1979-01-25,67.300537109375,5.613894385582421e+19,
1979-01-26,65.80561828613281,1.9884078450096472e+19,
1979-01-27,67.55033874511719,7.19980884686327e+19,
1979-01-28,66.77047729492188,3.9735497006801486e+19,
1979-01-29,67.35372161865234,6.067636446086509e+19,
1979-01-30,67.17382049560547,5.393765120827248e+19,
1979-01-31,67.24590301513672,5.530275206876103e+19,
1979-02-01,67.08710479736328,4.856067431058742e+19,
1979-02-02,66.49691772460938,3.171460146361742e+19,
1979-02-03,66.45281982421875,2.904328738640075e+19,
1979-02-04,66.43611145019531,2.725940453712488e+19,
1979-02-05,66.17909240722656,2.1035687137819754e+19,
1979-02-06,66.14344024658203,1.880447677887624e+19,
1979-02-07,66.11619567871094,1.720213099592758e+19,
1979-02-08,66.4351577758789,2.0400857711244214e+19,
1979-02-09,66.46334075927734,1.997645062096919e+19,
1979-02-10,66.5542984008789,2.05275566351361e+19,
