date,mu_ft,sd_ft,obs
1979-01-01,77.6182632446289,3.11077418536339e+21,67.04
1979-01-02,79.30504608154297,1.8357411797400937e+22,67.44
1979-01-03,75.65351104736328,2.0721275806513952e+21,
1979-01-04,75.40888214111328,1.8011611907212549e+21,
1979-01-05,74.15097045898438,8.288577454387526e+20,
1979-01-06,74.12139129638672,8.050498882211236e+20,
1979-01-07,72.9759292602539,3.965934571107102e+20,
1979-01-08,72.5555648803711,3.051128582267239e+20,
1979-01-09,70.59597778320312,8.738362504484644e+19,
1979-01-10,70.69795227050781,9.26991656308179e+19,
1979-01-11,70.65963745117188,9.084379693355054e+19,
1979-01-12,69.5039291381836,4.252114490014407e+19,
1979-01-13,69.1578598022461,3.4041289014270493e+19,
1979-01-14,68.79885864257812,2.751830434109404e+19,
1979-01-15,69.11339569091797,3.3359956842909794e+19,
1979-01-16,67.8126449584961,1.346147808902434e+19,
1979-01-17,68.46855926513672,2.175150439187402e+19,
1979-01-18,68.22449493408203,1.853519978416413e+19,
1979-01-19,68.12033081054688,1.7583888030161175e+19,
1979-01-20,68.1125259399414,1.7423105345319862e+19,
1979-01-21,68.2900619506836,2.014373032001903e+19,
1979-01-22,67.98938751220703,1.5782793425864098e+19,
1979-01-23,67.78108978271484,1.4263896177417126e+19,
1979-01-24,67.32064819335938,1.1170094757227528e+19,
1979-01-25,66.80162811279297,8.237819291739619e+18,
1979-01-26,66.31509399414062,5.805899132459549e+18,
1979-01-27,60.6937370300293,1.6019704028069888e+17,
1979-01-28,60.412086486816406,1.3234172923478016e+17,
1979-01-29,59.73362731933594,8.072439136465715e+16,
1979-01-30,59.31556701660156,6.652326238905958e+16,
1979-01-31,59.267696380615234,6.492625610945331e+16,
1979-02-01,58.59965515136719,3.846753528420762e+16,
1979-02-02,58.55501174926758,3.878728700946022e+16,
1979-02-03,58.41167449951172,3.5035244381863936e+16,
1979-02-04,58.00218200683594,2.6451236844732416e+16,
1979-02-05,58.30546188354492,3.217493145419776e+16,
1979-02-06,58.07926940917969,2.7523617164099584e+16,
1979-02-07,56.68409729003906,1.059794991448064e+16,
1979-02-08,57.9776725769043,2.623778341257216e+16,
1979-02-09,57.90467834472656,2.540648390249677e+16,
1979-02-10,58.172786712646484,3.115528689077453e+16,
1979-02-11,57.648216247558594,2.2781350499057664e+16,
1979-02-12,59.40325927734375,7.396730829642138e+16,
1979-02-13,59.655643463134766,8.65148147335168e+16,
1979-02-14,59.938533782958984,1.0288478193451008e+17,
1979-02-15,60.269134521484375,1.344186293902377e+17,
