,Q_C,Q_i,cannonsville_storage_pct,T_C_mu,T_C_sd,T_i_mu,T_i_sd,Tavg_L_mu,Tavg_L_sd,T_L_mu,T_L_sd,thermal_releases,remained_bank_amounts
1979-01-01,38.7789474072,280.68753049535803,55.71907864317098,3.0559385,1.0730425,-0.010444999,0.82810664,0.36177284559014783,0.7391526533636662,0.804123180129522,1.2055378883218197,,
1979-01-02,38.7789474072,2160.444930495358,63.861141662228505,3.1633577,1.0395312,2.283328,0.7907822,2.298845632766027,0.7770545761374257,2.833781424980339,1.243420354798748,,
1979-01-03,38.7789474072,4513.705930495358,69.64293330487337,2.1124365,0.9055152,0.22038674,0.33702242,0.2365035898929415,0.33424061778079994,0.6728664822215179,0.8006272586661586,,
1979-01-04,255.5128974072,3020.7745304953582,71.49620915871746,1.8149862,0.9175765,-0.12788665,0.26964867,0.02363518091876687,0.25871293782469224,0.4498236909526317,0.7251020089328575,,
1979-01-05,228.1173274072,1753.2453304953578,72.41072502991275,1.7510393,0.90521115,-0.28225338,0.28778055,-0.04815727726062269,0.2751491115180636,0.3745997986825086,0.7415390139314952,,
1979-01-06,92.94317740720001,1371.9342304953582,73.0672511338908,1.9363753,0.8939411,-0.021355152,0.28846005,0.10285844012086498,0.2760476241047148,0.5328335511334263,0.7424357847037595,,
1979-01-07,104.46643240719999,2162.897930495358,73.64082447635046,2.2657595,0.97037804,-0.042040348,0.28470752,0.06428910540664633,0.27524532530423096,0.49242073406254305,0.7416339282824039,,
1979-01-08,308.4431474072,5758.203430495358,75.74902868761407,2.4249916,0.8584912,-0.09931946,0.3252023,0.02902268952510824,0.31173898213903406,0.45546870405407935,0.7781279911014134,,
1979-01-09,722.2798474072,2692.3577304953583,76.59987584558615,2.0683007,0.7649744,-0.5347707,0.2382432,0.01584292001850423,0.2479314097058135,0.44165898661784786,0.7143205707576836,,
1979-01-10,431.5173774072,1181.419030495358,77.0689978206951,1.9965458,0.7601329,-0.937533,0.25674006,-0.15256345359561826,0.2769841104378011,0.2652033640133598,0.7433752323166112,,
1979-01-11,331.91334740720004,1028.782030495358,77.36016048835694,1.9041678,0.7741258,-0.8195075,0.25110984,-0.1551235297453727,0.26777433256077154,0.26252092497482965,0.7341654844978485,,
1979-01-12,277.4978074072,841.959530495358,77.55879907033435,1.9567845,0.7491065,-0.75899136,0.25033665,-0.08578853501256907,0.26444639124720415,0.3351698954460386,0.7308367317576658,,
1979-01-13,123.4690974072,817.0032304953581,77.84607416979023,2.1510184,0.7385108,-0.27026236,0.2682247,0.04761339066042143,0.2523774327852993,0.4749479771545278,0.7187662275557618,,
1979-01-14,38.7789474072,590.035030495358,78.31800738685803,2.3754096,0.68955445,-0.089303255,0.33709627,0.06269554529663754,0.31915330167227274,0.4907510072265886,0.7855419229647084,,
1979-01-15,54.9368420988,651.0227304953581,78.68058417558886,2.0917113,0.7394832,-0.03756106,0.30570763,0.12813610407458784,0.28773108891204746,0.5593194010167655,0.7541189605062218,,
1979-01-16,79.5365070988,606.384430495358,78.94273553302597,2.1760511,0.7071288,-0.17041409,0.28954372,0.10167214922349972,0.26878178805212216,0.5315905595862995,0.7351699622322284,,
1979-01-17,87.7272740988,608.600670495358,79.38502344306501,2.2853465,0.68823755,-0.19489467,0.2959906,0.11757993118261213,0.2728442542370021,0.5482586791450252,0.73923224643329,,
1979-01-18,100.8873720988,573.1321604953579,79.76233514620749,2.1574955,0.70994705,-0.21359193,0.29081294,0.14131288545857432,0.26914982938761245,0.5731259875083328,0.735537550618536,,
1979-01-19,99.8452720988,531.1348504953579,80.09238718372825,1.9830017,0.7520153,-0.20113266,0.26858622,0.1444812272558122,0.2554899858719251,0.5764457652130439,0.721877670977785,,
1979-01-20,55.1918067488,588.571530495358,80.470123390528,2.1764283,0.73922676,-0.114691734,0.2643854,0.08173301970858558,0.2498890416175536,0.510698407839077,0.7162774443083992,,
1979-01-21,249.02957209879997,1331.3055304953582,81.38594536535284,2.6008565,0.78832906,-0.10173595,0.28503367,0.32413920238104216,0.27034889027472275,0.7646907774191948,0.7367345457189196,,
1979-01-22,54.9368420988,6112.483215495358,84.05134090339607,2.7153578,0.6040452,0.22112381,0.3543348,0.24334142523056132,0.3512197419569966,0.6800311427143051,0.8176063056367129,,
1979-01-23,318.0325120988,2922.793830495358,85.28409610706102,2.5604782,0.6206656,-0.09013367,0.27617043,0.16997923782542546,0.256408106227555,0.6031624935272959,0.7227955010259335,,
1979-01-24,976.1663737035999,3101.999930495358,86.20533936547538,2.7803264,0.6784501,-0.6524259,0.29033756,0.16925157161177182,0.2741230980560447,0.6024000473560321,0.7405105011289592,,
1979-01-25,1419.9199737036,8662.623930495358,89.45414448386887,3.226406,0.61169773,0.3403219,0.5047136,0.7467677953312417,0.4421089408139895,1.2075195724288414,0.9084899671891598,,
1979-01-26,1603.7478737036,5334.378930495359,90.84584092932607,3.381083,0.5321433,0.52647537,0.42472476,1.1863178699057433,0.3489482387910602,1.6680786380412407,0.8153246674150008,,
1979-01-27,3213.0658548431707,5205.025615029759,89.81098821998754,3.4269562,0.51643753,1.8861629,0.5019649,2.4742617779173597,0.3676763138268507,3.0175818622398105,0.8340405424446828,,
1979-01-28,2612.0372811886887,3979.9032291654635,88.93531893139554,3.347507,0.5481902,2.3796382,0.6154671,2.7631533978540705,0.4304220479712917,3.320281514082896,0.8967838005272477,,
1979-01-29,2014.8954314354864,3086.5091919822776,88.02194818317098,3.2628498,0.56062037,2.2016535,0.6077864,2.6207928724014233,0.4292497319528908,3.1711166421487236,0.8956126927397241,,
1979-01-30,1248.7631654341772,2460.825590134557,87.51894096435966,3.22113,0.52414304,1.4336973,0.52073765,2.0354028358374663,0.387893878794738,2.5577469628927436,0.8542620514399847,,
1979-01-31,687.4254737036,1280.272330495358,87.48238146956271,3.1187387,0.51575905,0.8766593,0.42114317,1.6599413790292603,0.3279481099353859,2.1643397318998887,0.7943198316656754,,
1979-02-01,751.2805485690118,1720.676870347832,86.97778805891893,3.0425386,0.52576697,-0.1860112,0.3323087,0.7952139160844943,0.281138976246065,1.2582812521493203,0.747519485035997,,
1979-02-02,579.0358737035999,883.0312304953582,86.71355934790704,2.9205575,0.5503758,-0.9642538,0.30076635,0.5742837356591639,0.28373968923865306,1.0267913643117004,0.7501225801726832,,
1979-02-03,569.4195537036,808.048790495358,86.50181203597899,2.8722625,0.5661792,-1.2384268,0.30385745,0.4608549731228647,0.29419537922670896,0.9079410946629936,0.7605795148703411,,
1979-02-04,543.6346837036,801.793330495358,86.20096256149913,2.9677956,0.5356048,-0.94960535,0.33121872,0.6332627135560978,0.29291225619367994,1.0885893357425576,0.759294505735643,,
1979-02-05,515.0111737036,733.400430495358,85.93157203877499,2.8710527,0.54975826,-1.2421132,0.28200966,0.454704090376339,0.2808599001954141,0.9014962207469248,0.7472441037562013,,
1979-02-06,169.1869420988,715.8068304953579,86.00115775765441,2.6841035,0.60327303,-1.0021802,0.22838196,-0.29746218845273475,0.21776806876323493,0.11337896494161953,0.684160903711878,,
1979-02-07,164.32446209879998,683.8271704953579,86.01561781193034,2.7284842,0.58901423,-0.79677165,0.23528692,-0.11377377026300062,0.2213810657945324,0.30584706161337744,0.687771733154342,,
1979-02-08,157.2814320988,664.781930495358,86.00834026580999,2.7860637,0.5752135,-0.63991845,0.24267748,0.015558245801855566,0.2249990553640113,0.44136070594675353,0.6913882197031039,,
1979-02-09,148.2030720988,625.2738904953579,85.9794179342996,2.5985813,0.6205493,-0.5306113,0.22225764,0.06896179091139958,0.21545161635411006,0.4973167579616472,0.6818401656473829,,
1979-02-10,136.5551660988,613.321230495358,85.93481299539147,2.547605,0.61356443,-0.37775493,0.22306208,0.15496355552138755,0.21393706663122736,0.5874291129376672,0.680324632300605,,
1979-02-11,123.5542970988,595.3685304953581,85.86786590136607,2.3090568,0.6713891,-0.30567527,0.23173982,0.14369337795180062,0.22392924805084127,0.5756202594054287,0.6903169421385948,,
1979-02-12,122.7908920988,556.446160495358,85.79124807146722,2.3248048,0.66607755,-0.26543617,0.23307121,0.20282155350866143,0.22573441733883653,0.6375745596343507,0.6921214393065419,,
1979-02-13,119.3273620988,549.297230495358,85.66597454227035,2.288456,0.6591635,-0.26613915,0.24227391,0.18977153536936403,0.23120174696186457,0.6239007952372503,0.697588916927586,,
1979-02-14,121.5359220988,532.5863604953579,85.41588532392288,2.1998687,0.6791894,-0.2481817,0.24289097,0.20666606730971396,0.23459435427090275,0.6416028280532806,0.7009813326757686,,
1979-02-15,118.32132209880001,512.8700804953579,85.16939010096429,2.313465,0.65524864,-0.2836727,0.23370504,0.20317928184223077,0.22615859639061064,0.6379493861594315,0.6925456143041224,,
1979-02-16,113.39192809880001,496.420070495358,85.01827695239261,2.321416,0.6445555,-0.2772113,0.24956594,0.20599228605973646,0.23587848656407506,0.6408968423627601,0.7022654726024493,,
1979-02-17,97.5942440988,503.64196049535803,84.86864761896994,1.9636321,0.74733895,-0.26582515,0.25223848,0.09606622123851183,0.24364210739865613,0.5257166874065354,0.7100303457791001,,
1979-02-18,86.6372200988,516.8812304953581,84.70800288253338,1.9099599,0.7785958,-0.1865766,0.24355076,0.11438866888145045,0.23664658810289138,0.5449148854146525,0.7030346167837781,,
1979-02-19,116.4270020988,509.9055304953579,84.53752345458287,2.2106133,0.7133011,-0.17344093,0.24094452,0.26972346752603643,0.23676613243463673,0.7076741564490039,0.703152398737118,,
1979-02-20,106.0117660988,515.178130495358,84.35725212485595,2.3264508,0.7025905,-0.21696758,0.26399824,0.21709014872419974,0.24962683503964797,0.6525251449264391,0.7160136954125049,,
1979-02-21,108.4658920988,483.00265049535795,84.1673459048469,2.6608858,0.6376787,-0.043738842,0.28440154,0.4522461591164938,0.26002610693152756,0.8989208087748766,0.7264103376445321,,
1979-02-22,105.7941020988,464.874350495358,83.98589012999943,2.9348736,0.58687377,-0.04723406,0.39832976,0.5056077863528433,0.3422389818899787,0.9548329393855262,0.8086226246819057,,
1979-02-23,134.4339520988,580.825460495358,83.80641364436708,3.0041213,0.5827781,-0.107076526,0.40035117,0.47767721901247334,0.34306079028741193,0.9255673864021547,0.8094447404031816,,
1979-02-24,205.9567520988,801.1955304953581,84.05152941298924,3.3120766,0.6257324,-0.38790095,0.4206,0.36872281675505286,0.35822298913520567,0.8114053361588216,0.8246081466174844,,
1979-02-25,574.0428420988,1792.9594004953578,84.26866600525919,3.3997626,0.58950347,-0.3975382,0.48522845,0.5233791309923895,0.39437699126970777,0.97345369355054,0.8607604389854273,,
1979-02-26,666.3286420988,1605.4217004953582,84.13143316518259,3.3553567,0.6214864,-0.59951174,0.52574074,0.5604934151652876,0.41384498209188525,1.0123419136380691,0.8802280235683477,,
1979-02-27,543.5251420988,1511.7494354953585,83.96932877046785,3.2552423,0.5248583,-0.16896045,0.6145257,0.7365829403332246,0.4728430240397351,1.1968479161771042,0.9392241595685316,,
1979-02-28,447.3998820988,1371.9429904953581,83.79509174298641,3.1917672,0.5282563,0.019781351,0.77768356,0.7998135941790653,0.6006567393994303,1.2631007791335989,1.0670371991871395,,
1979-03-01,421.5996420988,1312.397400495358,83.90253580225966,3.2596478,0.50118846,0.52633893,0.9787035,1.190908729686186,0.7507003285782565,1.6728889252261194,1.217076710346927,,
1979-03-02,403.0854920988,1251.8008864953583,84.02731851160684,3.263464,0.49468347,1.3757463,0.87535286,1.83554315071483,0.673014406983633,2.3483346680074013,1.139384448755692,,
1979-03-03,373.07417209880003,1012.7354904953581,84.1941829475779,3.3847446,0.5452153,1.8634801,0.9680409,2.273020108746064,0.7225005255917007,2.806721529192359,1.1888665354286825,,
1979-03-04,54.9368420988,1529.676430495358,85.15302698104978,3.366685,0.5820012,3.460227,0.7941412,3.456984008419194,0.7668746252600654,4.04727485609174,1.233230820925601,,
1979-03-05,54.9368420988,45.241,93.83503952067626,3.5870118,0.5022046,1.6524999,1.5869937,2.7133729830949247,0.767791074244872,3.2681217656640977,1.234153246658066,,
1979-03-06,3613.7964642474526,2310.1197,100.0,3.8949122,0.56613594,2.953306,0.9554229,3.52771879110422,0.5080279201351852,4.121390519594352,0.9743835802089431,,
1979-03-07,4455.09444339921,7374.775615029759,100.0,3.9593067,0.593664,3.1287973,0.61977744,3.4415647113464245,0.4463934304880108,4.0311185693271225,0.9127497436654439,,
1979-03-08,2924.5394379352,5989.7546150297585,99.6972028147422,3.9040742,0.6533454,3.3628256,0.5948409,3.5403946857859245,0.45353674834230173,4.134672278711464,0.9198923130408996,,
1979-03-09,2982.9764479352,4789.542915029757,98.65395920632584,3.940248,0.64071333,4.3040648,0.6453317,4.1644373389503535,0.4675476786314136,4.788542037514058,0.9338987751483929,,
1979-03-10,2670.3637207571305,4654.895615029758,97.71764220050248,3.954112,0.6208414,4.715345,0.7053107,4.437843659774887,0.5020966969164222,5.075016245881251,0.9684459761327853,,
1979-03-11,2254.569155847099,5934.961115029758,98.09909883638848,3.8605394,0.75614375,3.6426668,0.59087086,3.7026469220253713,0.47612204019076443,4.304679617211633,0.9424764003105154,,
1979-03-12,2212.298188283275,4195.139615029759,97.51273501373736,3.6574202,0.7120164,2.8951263,0.6866356,3.1583237828403146,0.5123877695981154,3.7343396926490984,0.9787462897506171,,
1979-03-13,823.4811225723087,3295.687815029757,98.09303476131716,3.630166,0.5555474,2.681685,0.60938096,2.871299982701565,0.5000465235174658,3.433597136005494,0.966407373710618,,
1979-03-14,387.7894737036,2639.520679904764,99.20437937814324,3.5093527,0.5178583,3.7961712,0.5877912,3.7594305865660145,0.516772236952108,4.364177346812072,0.9831261826154294,,
1979-03-15,969.4736841976,2189.040478637339,99.04444013721992,3.251463,0.60739154,3.047351,0.8007346,3.110000994811371,0.5854354792282837,3.683707240535558,1.0517943850666924,,
1979-03-16,1040.6370241976,1576.1851264571328,98.55477754127072,3.2818265,0.5586864,1.1161113,0.4965896,1.9773556847419678,0.3725962185842885,2.4969253563991396,0.838964929391296,,
1979-03-17,387.7894737036,1459.2173594456626,98.6759847396709,3.3594704,0.504445,2.3935852,0.65457124,2.5963782278459604,0.5278742837723955,3.145535061040797,0.9942374540973686,,
1979-03-18,428.50731512132006,1370.7618052400458,98.7041231828411,3.3987064,0.5803451,3.4676437,0.79850113,3.45122588362021,0.6238364206460238,4.041241512610529,1.0901926601629552,,
1979-03-19,403.87696970359997,1155.2674808360275,98.9001326646044,3.3742485,0.62931025,4.1017256,0.7814926,3.913281694265954,0.6015650329876289,4.525382011546366,1.0679178742422915,,
1979-03-20,455.1321264437408,1168.5166676233332,98.99109055009346,3.5146823,0.6606555,4.4877214,0.7166555,4.214964564238475,0.5480064156289758,4.841484291452272,1.01435716985775,,
1979-03-21,421.26187770359996,1135.2961762878035,99.08080205557069,3.6139522,0.67056865,5.2556615,0.6834152,4.811354542357443,0.530467202002628,5.466379671868174,0.9968141367046075,,
1979-03-22,414.3070027036,1030.1582395257801,99.29858352467444,3.825398,0.7370392,6.5169992,0.733601,5.74498395162799,0.5642822955276934,6.444633375449375,1.0306240677292617,,
1979-03-23,1002.3042621976001,949.4689529620543,98.91053147431764,3.9429379,0.73261946,9.689211,1.0140693,6.738297375859395,0.6204028543917018,7.485423785886965,1.086740228623408,,
1979-03-24,551.6803237035999,1176.212521563289,99.28736835864632,3.6337657,0.6356053,8.30698,0.7719897,6.814919754649636,0.5633320518643471,7.56570845246288,1.0296691337264556,,
1979-03-25,1273.370031230704,5343.27010680365,100.0,3.8614678,0.62568974,6.5077224,0.67342037,5.998451636842488,0.5569924634964658,6.7102159495811895,1.0233330062122614,,
1979-03-26,1686.269772006161,4224.985867553263,100.0,3.619411,0.58519554,5.805714,0.7962137,5.182040055029992,0.5930617202615619,5.854782684921436,1.0594064859306338,,
