,sf_mu,sf_sd,adj_ratio_Trenton,adj_ratio_Montague,drought_idx
1979-01-01,77.0143,1.2443856e+20,,,3.0
1979-01-02,74.53284,5.260043e+19,,,3.0
1979-01-03,71.41628,8.3958746e+18,,,3.0
1979-01-04,70.88621,6.1115606e+18,,,3.0
1979-01-05,70.78985,5.764059e+18,,,3.0
1979-01-06,70.80964,5.8372786e+18,,,3.0
1979-01-07,70.86039,6.027492e+18,,,3.0
1979-01-08,74.21273,4.762633e+19,,,3.0
1979-01-09,71.115326,7.010522e+18,,,3.0
1979-01-10,70.73904,5.573902e+18,,,3.0
1979-01-11,70.63601,5.2274153e+18,,,3.0
1979-01-12,70.43148,4.5965952e+18,,,3.0
1979-01-13,70.11171,3.7563e+18,,,3.0
1979-01-14,69.50916,2.559767e+18,,,3.0
1979-01-15,68.81861,1.6612747e+18,,,2.0
1979-01-16,68.34419,1.232691e+18,,,2.0
1979-01-17,68.0064,9.963461e+17,,,2.0
1979-01-18,67.75854,8.5229805e+17,,,2.0
1979-01-19,67.57881,7.610397e+17,,,2.0
1979-01-20,67.411964,6.845795e+17,,,2.0
1979-01-21,71.8167,1.0137949e+19,,,2.0
1979-01-22,68.3942,1.210445e+18,,,2.0
1979-01-23,66.29017,3.289112e+17,,,2.0
1979-01-24,69.778175,2.8133388e+18,,,2.0
1979-01-25,68.90147,1.6275153e+18,,,2.0
1979-01-26,68.06957,9.764118e+17,,,2.0
1979-01-27,67.921875,8.9198506e+17,,,1.0
1979-01-28,67.48069,6.795683e+17,,,1.0
1979-01-29,67.44794,6.659642e+17,,,1.0
1979-01-30,66.707924,4.2171054e+17,,,1.0
1979-01-31,66.41238,3.5141137e+17,,,2.0
1979-02-01,65.655464,2.201964e+17,,,1.0
1979-02-02,64.79029,1.2906613e+17,,,2.0
1979-02-03,64.39993,1.0143896e+17,,,2.0
1979-02-04,64.108665,8.475995e+16,,,2.0
1979-02-05,63.961372,7.741719e+16,,,2.0
1979-02-06,63.874928,7.343342e+16,,,2.0
1979-02-07,63.842205,7.1997705e+16,,,2.0
1979-02-08,63.84071,7.1955146e+16,,,2.0
1979-02-09,63.838894,7.1919472e+16,,,2.0
1979-02-10,63.850506,7.24935e+16,,,2.0
1979-02-11,63.875435,7.368231e+16,,,2.0
1979-02-12,63.9093,7.528734e+16,,,2.0
1979-02-13,63.95199,7.73729e+16,,,2.0
1979-02-14,64.00313,7.993777e+16,,,2.0
1979-02-15,64.05884,8.280186e+16,,,2.0
1979-02-16,64.11428,8.569367e+16,,,2.0
1979-02-17,64.18583,8.9691845e+16,,,2.0
1979-02-18,64.24814,9.326654e+16,,,2.0
1979-02-19,64.30768,9.685504e+16,,,2.0
1979-02-20,64.35243,9.966079e+16,,,2.0
1979-02-21,64.38575,1.0187056e+17,,,2.0
1979-02-22,64.43426,1.04678944e+17,,,2.0
1979-02-23,64.53531,1.1137703e+17,,,2.0
1979-02-24,68.61092,1.3798428e+18,,,2.0
1979-02-25,68.61256,1.3546418e+18,,,2.0
1979-02-26,66.03271,2.6894867e+17,,,2.0
1979-02-27,67.86831,8.502198e+17,,,2.0
1979-02-28,68.562996,1.3168511e+18,,,2.0
1979-03-01,68.66139,1.4036697e+18,,,2.0
1979-03-02,68.46317,1.2473023e+18,,,2.0
1979-03-03,67.84273,8.671211e+17,,,2.0
1979-03-04,66.32735,3.90273e+17,,,2.0
1979-03-05,62.531097,6.077055e+16,,,2.0
1979-03-06,64.46072,2.7117183e+17,,,2.0
1979-03-07,62.318924,7.61809e+16,,,1.0
1979-03-08,61.60083,4.9197536e+16,,,1.0
1979-03-09,61.613144,4.9801963e+16,,,1.0
1979-03-10,61.58058,4.885771e+16,,,1.0
1979-03-11,61.144566,3.6971293e+16,,,1.0
1979-03-12,61.22012,3.8828884e+16,,,1.0
1979-03-13,61.393272,4.33781e+16,,,1.0
1979-03-14,61.473625,4.5719506e+16,,,1.0
1979-03-15,61.46186,4.5456216e+16,,,1.0
1979-03-16,61.1519,3.7698186e+16,,,1.0
1979-03-17,60.696457,2.858937e+16,,,1.0
1979-03-18,60.35666,2.3266147e+16,,,1.0
1979-03-19,60.01631,1.8914377e+16,,,1.0
1979-03-20,59.777718,1.6365408e+16,,,1.0
1979-03-21,59.540268,1.4169295e+16,,,1.0
1979-03-22,59.441093,1.3355732e+16,,,1.0
1979-03-23,59.429817,1.3281503e+16,,,1.0
1979-03-24,59.769943,1.6360477e+16,,,1.0
1979-03-25,59.711334,1.5781806e+16,,,0.0
1979-03-26,59.466827,1.359045e+16,,,0.0
1979-03-27,59.570946,1.4492257e+16,,,0.0
1979-03-28,59.470253,1.3632561e+16,,,0.0
1979-03-29,59.53209,1.4167835e+16,,,0.0
1979-03-30,59.472008,1.3669638e+16,,,0.0
1979-03-31,59.46627,1.3645984e+16,,,0.0
1979-04-01,59.510895,1.4049645e+16,,,2.0
1979-04-02,59.56755,1.4562359e+16,,,2.0
1979-04-03,59.619545,1.503815e+16,,,2.0
1979-04-04,59.68784,1.5670045e+16,,,2.0
1979-04-05,59.71055,1.5869281e+16,,,2.0
1979-04-06,59.74878,1.6012304e+16,,,2.0
1979-04-07,60.224197,1.9268456e+16,,,2.0
1979-04-08,61.937447,3.7267517e+16,,,2.0
1979-04-09,62.117275,4.2268955e+16,,,2.0
1979-04-10,60.75152,2.636963e+16,,,2.0
1979-04-11,61.568752,3.308376e+16,,,2.0
1979-04-12,62.675373,5.0949153e+16,,,2.0
1979-04-13,63.638016,7.318313e+16,,,2.0
1979-04-14,62.366413,5.0753616e+16,,,2.0
1979-04-15,60.83991,2.8644717e+16,,,3.0
1979-04-16,60.199238,2.0369333e+16,,,3.0
1979-04-17,60.048088,1.9053856e+16,,,3.0
1979-04-18,59.970573,1.8470588e+16,,,3.0
1979-04-19,59.813824,1.6809581e+16,,,3.0
1979-04-20,59.72319,1.5778013e+16,,,3.0
1979-04-21,59.8776,1.6566279e+16,,,3.0
1979-04-22,60.83866,2.36494e+16,,,3.0
1979-04-23,62.771324,5.0131713e+16,,,3.0
1979-04-24,63.839973,7.76162e+16,,,3.0
1979-04-25,64.14685,8.902204e+16,,,3.0
1979-04-26,64.19794,9.093312e+16,,,3.0
1979-04-27,64.203094,9.131653e+16,,,3.0
